category,model,url
direct-cool-refrigerator,MFC-C0G-ELXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c0g-elxx-xx
direct-cool-refrigerator,MFC-C0G-GDEH-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c0g-gdeh-dd-inverter
direct-cool-refrigerator,MFC-C0G-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c0g-gdxx-xx
direct-cool-refrigerator,MFC-C0G-GDXX-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?product_id=1976
direct-cool-refrigerator,MFC-C0G-NEXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c0g-nexx-xx
direct-cool-refrigerator,MFE-C0N-ELNX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c0n-elnx-xx
direct-cool-refrigerator,MFE-B9E-CRXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b9e-crxx-xx
direct-cool-refrigerator,MFE-B9E-CRXX-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b9e-crxx-xx-inverter
direct-cool-refrigerator,MFE-B9E-ELNX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b9e-elnx-xx
direct-cool-refrigerator,<,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?page=2
direct-cool-refrigerator,>,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?page=4
direct-cool-refrigerator,MFE-B9E-GDEL-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b9e-gdel-xx-inverter
direct-cool-refrigerator,MFE-B9E-GDEN-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b9e-gden-xx
direct-cool-refrigerator,MFE-B9E-GDEN-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b9e-gden-xx-inverter
direct-cool-refrigerator,MFE-B9E-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b9e-gdxx-xx1
direct-cool-refrigerator,MFE-B9E-GDXX-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b9e-gdxx-xx-inverter
direct-cool-refrigerator,MFE-B8B-CRXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b8b-crxx
direct-cool-refrigerator,MFE-B8B-CRXX-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b8b-crxx-inverter
direct-cool-refrigerator,MFE-B8B-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b8b-gdel-xx
direct-cool-refrigerator,MFE-B8B-GDEL-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b8b-gdel-xx-inverter
direct-cool-refrigerator,MFE-B8B-GDEN-DD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b8b-gden-dd-inverter
direct-cool-refrigerator,MFE-B8B-GDEN-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b8b-gden-xx
direct-cool-refrigerator,MFE-B8B-GDEN-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b8b-gden-xx-inverter
direct-cool-refrigerator,MFE-B8B-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b8b-gdxx
direct-cool-refrigerator,MFE-B8B-GDXX-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-b8b-gdxx-inverter
direct-cool-refrigerator,MFB-B5D-ELXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5d-elxx-xx
direct-cool-refrigerator,MFB-B5D-GAXB-WD (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5d-gaxb-wd-inverter
direct-cool-refrigerator,MFB-B5D-GDEH-SC (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5d-gdeh-sc-inverter
direct-cool-refrigerator,MFB-B5D-GDEH-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5d-gdeh-xx-inverter
direct-cool-refrigerator,MFB-B5D-GDEL-SC (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5d-gdel-sc-inverter
direct-cool-refrigerator,MFB-B5D-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5d-gdel-xx
direct-cool-refrigerator,<,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?page=3
direct-cool-refrigerator,>,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?page=5
direct-cool-refrigerator,MFB-B5D-GDSH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5d-gdsh-xx
direct-cool-refrigerator,MFB-B5D-GDSH-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?product_id=1769
direct-cool-refrigerator,MFB-B5D-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5d-gdxx-xx
direct-cool-refrigerator,MFB-B5D-GDXX-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?product_id=1767
direct-cool-refrigerator,MFB-B5X-GDEH-SC (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5x-gdeh-sc-inverter
direct-cool-refrigerator,MFB-B5X-GDEH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5x-gdeh-xx
direct-cool-refrigerator,MFB-B5X-GDEH-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5x-gdeh-xx-inverter
direct-cool-refrigerator,MFB-B5X-GDEL-SC,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5x-gdel-sc
direct-cool-refrigerator,MFB-B5X-GDEL-SC (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5x-gdel-sc-inverter
direct-cool-refrigerator,MFB-B5X-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5x-gdel-xx
direct-cool-refrigerator,MFB-B5X-GDEL-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5x-gdel-xx-inverter
direct-cool-refrigerator,MFB-B5X-GDSH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5x-gdsh-xx
direct-cool-refrigerator,MFB-B5X-GDSH-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5x-gdsh-xx-inverter
direct-cool-refrigerator,MFB-B5X-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5x-gdxx-xx
direct-cool-refrigerator,MFB-B5X-GDXX-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b5x-gdxx-xx-inverter
direct-cool-refrigerator,MFA-B4D-GDEH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-b4d-gdeh-xx
direct-cool-refrigerator,MFA-B4D-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-b4d-gdel-xx
direct-cool-refrigerator,MFA-B4D-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-b4d-gdxx-xx
direct-cool-refrigerator,MFA-B4D-GEBR-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-b4d-gebr-xx
direct-cool-refrigerator,MFA-B4D-GERB-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-b4d-gerb-xx
direct-cool-refrigerator,<,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?page=4
direct-cool-refrigerator,1,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?page=1
direct-cool-refrigerator,>,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?page=6
direct-cool-refrigerator,MFA-B4D-NEXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-b4d-nexx-xx
direct-cool-refrigerator,MFA-B4D-RLXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-b4d-rlxx-xx
direct-cool-refrigerator,MFA-B4D-RXXX-RP,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-b4d-rxxx-rp
direct-cool-refrigerator,MFB-B2F-ELXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b2f-elxx-xx
